,End of the Year,Currency Issues of the CBSL,Government Agencies Deposit with CBSL,Commercial Bank Deposit with CBSL,Total,M1,M2,M2b,M2 velocity,M2b velocity
71,2022 Dec  ,186098.91,15.12,82311.21,268425.24,1.033146664,4.776726254,5.672998288,3.636969129,3.010219449
35,2023 Dec  ,132436.5,12,65483.6,197932.1,1.16556191,4.157650102,5.16479397,3.254697399,2.626259342
263,2024 Dec  ,1358722.882,25.47561549,180589.8996,1539338.258,1.250903353,8.224679328,9.303803722,,
37,2003 Feb  ,134736.5,25.9,68267.1,203029.5,1.139284835,4.181648032,5.215652859,,
157,2004 Feb  ,491203.7716,153.6385416,247978.972,739336.3822,0.947519151,5.624516272,6.362217278,,
205,2005 Feb  ,683736.8977,106.0077464,279439.9368,963282.8422,0.899215266,7.351538281,8.090044739,,
25,2006 Feb  ,121399,8,53259,174666,1.137038691,4.049740648,5.027881786,,
1,2007 Feb  ,86977,18,40145,127140,1.084143464,4.075743275,5.000291018,,
109,2008 Feb  ,296741.1474,1.493,142663.9292,439406.5696,0.994154823,5.16769681,5.927668265,,
61,2009 Feb  ,175904.098,1.167,97103.896,273009.161,0.97440709,4.23130356,5.15354098,,
121,2010 Feb  ,312007.6866,13.705,174706.832,486728.2236,0.919202803,5.523060435,6.262373257,,
181,2011 Feb  ,592981.7351,24.1082263,345128.2337,938134.077,0.821679334,6.210941851,6.875885846,,
49,2012 Feb  ,160083.8,7.3,77829.2,237920.3,1.092449446,4.261471173,5.189933772,,
13,2013 Feb  ,101629,21,45118,146768,1.134961299,4.053506214,5.008605418,,
229,2014 Feb  ,1029673.27,28.09594521,294533.0791,1324234.445,1.138088001,7.352035027,8.121757689,,
169,2015 Feb  ,545794.9425,17.19514964,301816.0991,847628.2368,0.878445728,5.841373857,6.549989122,,
241,2016 Feb  ,1026259.925,7.96853604,478416.8425,1504684.736,0.956559171,7.011345097,8.204909924,,
97,2017 Feb  ,263409.7951,22.108,102651.9503,366083.8534,1.13392529,5.089248097,5.834994141,,
85,2018 Feb  ,221149.2924,45.582,89613.66509,310808.5395,1.096803341,5.036498683,5.838888158,,
73,2019 Feb  ,179938,13.4,78145.6,258097,1.029208786,5.054696878,5.991984022,,
145,2020 Feb  ,419013.7791,2.161142,163938.2703,582954.2105,1.023542646,5.991137361,6.735743826,,
193,2021 Feb  ,636022.5555,47.39988702,326968.5119,963038.4674,0.837053414,6.718868735,7.464497271,,
133,2022 Feb  ,340982.4205,14.506,153618.323,494615.2495,0.993982465,6.308419811,7.06691831,,
217,2023 Feb  ,852784.3006,41.12605032,125264.2295,978089.6562,1.226824085,8.901226808,9.867097232,,
253,2024 Feb  ,1193662.706,15.64072859,220040.0117,1413718.359,1.150699097,8.18195179,9.337878057,,
222,2003 Jul  ,942804.0515,29.10345814,121032.78,1063865.935,1.237899936,8.713110399,9.685044845,,
150,2004 Jul  ,455961.811,52.526946,174317.166,630331.504,1.018603629,5.921071113,6.65344877,,
210,2005 Jul  ,768385.1771,112.9685159,110333.6612,878831.8068,1.165853683,8.781853578,9.680342791,,
18,2006 Jul  ,107273.6,4.1,49041,156318.7,1.099789533,3.995195722,4.969600624,,
186,2007 Jul  ,619580.3291,28.08321865,381775.3418,1001383.754,0.790676595,6.152252997,6.785991987,,
234,2008 Jul  ,1124364.708,20.14170643,312062.7375,1436447.587,1.089407878,7.13813674,8.322854459,,
126,2009 Jul  ,316965.5595,9.824,139130.6493,456106.0328,0.975109238,6.304696379,7.071867381,,
54,2010 Jul  ,162850,5.7,84353.5,247209.2,1.032482636,4.320441408,5.311299346,,
138,2011 Jul  ,372066.1286,12.233,152427.3,524505.6616,0.995647029,6.159330737,6.878910666,,
66,2012 Jul  ,183525.71,4.3,97761.96,281291.97,0.957289934,4.339305775,5.2816966,,
162,2013 Jul  ,517605.2575,5.40963317,256885.0243,774495.6915,0.925224906,5.674279121,6.378902257,,
198,2014 Jul  ,627073.074,46.89059512,261299.2374,888419.202,0.89906392,7.538607281,8.279235103,,
78,2015 Jul  ,187713.5998,18.357,87859.51922,275591.4761,1.005438017,5.122429118,6.107106262,,
246,2016 Jul  ,1096017.798,20.1701767,277744.2815,1373782.25,1.114769867,8.06592078,9.263659337,,
6,2017 Jul  ,89206,18,41802,131026,1.101621052,4.118358188,5.040648421,,
102,2018 Jul  ,275719.7618,7.326,137445.0117,413172.0996,1.047905769,4.903392834,5.596421434,,
42,2019 Jul  ,142839.7,22.2,71982.9,214844.8,1.102582422,4.166922355,5.096925781,,
114,2020 Jul  ,303094.9205,3.841,160313.866,463412.6275,0.944868322,5.201051966,5.979329164,,
258,2021 Jul  ,1279190.944,46.2072678,175862.4344,1455099.586,1.215451867,8.37964369,9.500776565,,
30,2022 Jul  ,124153.7,7.8,60485.5,184647,1.16480636,4.059670615,5.027452382,,
90,2023 Jul  ,233047.5183,2.707,98762.94642,331813.1717,1.058355823,4.975593184,5.77548444,,
174,2024 Jul  ,565451.086,15.7925,329163.2795,894630.158,0.858933457,5.999130145,6.691724791,,
53,2003 Jun  ,160179.5,7.5,87659.3,247846.3,1.046621693,4.289002042,5.221080832,,
149,2004 Jun  ,438491.4285,2.394,169551.306,608045.1285,1.03512203,6.04803424,6.810515172,,
